resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,suffer_score
2,Afternoon Run,1624.6,625,628,0.0,Run,Run,,16099472755,2025-10-10T21:22:29Z,2025-10-10T17:22:29Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,g7385283,"[39.946565, -75.161088]","[39.946787, -75.162787]",2.599,3.82,188.0,206.0,187.0,True,117.5,True,137.6,151.0,False,True,13.0,11.4,17182376888.0,17182376888.0,CFCA79BB-47DE-461A-94BC-3F0054A32A74.fit,False,0,0,False,67419870,1,a16099472755,u~xrF~lviMHaBJm@BG~BZX?JAPwBH{B@m@AIEC{@IiAUM?GBCXYtG?HF@|APl@LF@BD@h@QhDC`ABFXBVHRHHHObC,2,
2,Lunch Weight Training - Push,0.0,2498,2498,0.0,Workout,WeightTraining,,16099472779,2025-10-10T16:45:18Z,2025-10-10T12:45:18Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,104.5,147.0,False,True,0.0,0.0,17182376931.0,17182376931.0,75D0747A-550E-4E3B-8481-4229F7BF453B.fit,False,0,0,False,67419870,1,a16099472779,,2,
2,Afternoon Weight Training - Pull (light),0.0,1501,1501,0.0,WeightTraining,WeightTraining,30.0,16089160698,2025-10-09T19:30:08Z,2025-10-09T15:30:08Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,1,1,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,110.7,135.0,False,True,0.0,0.0,17171966249.0,17171966249.0,F548E339-480D-4C42-9109-BFF8191F0872.fit,False,0,0,False,67419870,1,a16089160698,,2,
2,Afternoon Weight Training - Legs,0.0,1808,1808,0.0,WeightTraining,WeightTraining,30.0,16078458933,2025-10-08T19:00:26Z,2025-10-08T15:00:26Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,1,1,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,101.8,140.0,False,True,0.0,0.0,17161174489.0,17161174489.0,67F3AEE4-A8D8-4E4A-831E-19DEB48B76CB.fit,False,0,0,False,67419870,1,a16078458933,,2,
2,Lunch Weight Training - Push,0.0,2856,2856,0.0,Workout,WeightTraining,,16053441643,2025-10-06T15:44:40Z,2025-10-06T11:44:40Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,105.8,132.0,False,True,0.0,0.0,17135938845.0,17135938845.0,557B66F8-CAE8-484B-915C-A2FB76215203.fit,False,0,0,False,67419870,1,a16053441643,,2,
2,Lunch Weight Training - Pull,0.0,3133,3133,0.0,Workout,WeightTraining,,16033221855,2025-10-04T16:45:58Z,2025-10-04T12:45:58Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,117.7,144.0,False,True,0.0,0.0,17115400658.0,17115400658.0,E18EB285-2F40-4A35-90CD-947C5CBC59C5.fit,False,0,0,False,67419870,1,a16033221855,,2,
2,Afternoon Run,1678.6,655,678,5.0,Run,Run,,16023595887,2025-10-03T20:27:35Z,2025-10-03T16:27:35Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,g7385283,"[39.946345, -75.161022]","[39.946415, -75.160464]",2.563,4.16,182.7,220.0,179.0,True,119.6,True,141.4,158.0,False,True,13.8,10.4,17105636384.0,17105636384.0,2841980B-42FE-49CA-94AF-F4673ABCE783.fit,False,0,0,False,67419870,1,a16023595887,wpxrFdqviMFWHwCyAYa@Ca@IKEGQTaENeAPo@D[TaDB}AKMKGu@GoASeBSM@CBG\w@jJSpD@LRHl@Hd@L,2,
2,Afternoon Weight Training - Legs,0.0,1615,1615,0.0,WeightTraining,WeightTraining,30.0,16013085317,2025-10-02T18:38:46Z,2025-10-02T14:38:46Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,112.5,142.0,False,True,0.0,0.0,17094984380.0,17094984380.0,0519B536-CFC7-4353-80B0-F9BEC2555176.fit,False,0,0,False,67419870,1,a16013085317,,2,
2,Afternoon Weight Training,0.0,2451,2451,0.0,WeightTraining,WeightTraining,30.0,16101187943,2025-10-01T20:57:06Z,2025-10-01T16:57:06Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,109.8,139.0,False,True,0.0,0.0,17184108174.0,17184108174.0,7644EDCD-076A-4522-BAFD-11E90FFE44E0.fit,False,0,0,False,67419870,1,a16101187943,,2,
2,Lunch Weight Training - Pull,0.0,4547,4547,0.0,WeightTraining,WeightTraining,30.0,15977959354,2025-09-29T15:59:55Z,2025-09-29T11:59:55Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,108.1,141.0,False,True,0.0,0.0,17059434849.0,17059434849.0,C465B976-C8D5-4FC6-A88E-394A38D42E48.fit,False,0,0,False,67419870,1,a15977959354,,2,
2,Afternoon Weight Training - Legs,0.0,2236,2236,0.0,WeightTraining,WeightTraining,30.0,15957546185,2025-09-27T20:21:33Z,2025-09-27T16:21:33Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,116.2,143.0,False,True,0.0,0.0,17038562944.0,17038562944.0,34EFF429-68D8-4D44-8817-4CF016A3B8DE.fit,False,0,0,False,67419870,1,a15957546185,,2,
2,Afternoon Run,5027.4,2004,2019,25.8,Run,Run,,15956461721,2025-09-27T17:12:17Z,2025-09-27T13:12:17Z,(GMT-05:00) America/New_York,-14400.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,g7385283,"[39.946501, -75.160648]","[39.946529, -75.162621]",2.509,3.86,182.5,220.0,182.0,True,365.8,True,147.6,159.0,False,True,17.2,4.4,17037454148.0,17037454148.0,FE650129-A133-498E-8550-CB6922020A85.fit,False,0,0,False,67419870,1,a15956461721,k~xrFfjviMPmBPeDXkDJ_B`@}JAiACEIGsAO_Cm@i@aAYw@USS_@MYIYc@u@G[Ce@EOCGKG_@EOGMSY{@]wA?YLoBA_AGm@DuBZyAHQRGt@?BE@w@De@?o@Bc@@s@Ha@HGTGp@IFCX{EH}B`@uCFw@@s@Lu@FELB\?~Cj@PA`@OFQBOFcBFYFG~@AvAN^J@NIj@InA?\@J`Ef@hCd@x@Jn@BVLHXFFdA@fALd@LHH@TKlAMh@@j@GTKf@?PDXJRJF`@Dr@Af@BTHDB@J[vC?z@Ef@ShAAPLv@AHELOVCN?l@E`BIp@IVMB{@Di@Au@Mi@Mg@Gk@Ow@KQI?VGT@f@C|@IdAGXAj@OhBw@dMe@~EOpE]fEOx@CHKFO?wBWO?EDq@dH]tGQ|B,2,
2,Lunch Weight Training - Push,0.0,3604,3604,0.0,WeightTraining,WeightTraining,30.0,15944606126,2025-09-26T16:20:24Z,2025-09-26T12:20:24Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,108.6,141.0,False,True,0.0,0.0,17025325766.0,17025325766.0,30987DF0-E45B-40C9-9E10-EA5E38166174.fit,False,0,0,False,67419870,1,a15944606126,,2,
2,Afternoon Weight Training - Pull,0.0,3174,3174,0.0,WeightTraining,WeightTraining,30.0,15924923649,2025-09-24T18:33:36Z,2025-09-24T14:33:36Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,106.4,142.0,False,True,0.0,0.0,17005193879.0,17005193879.0,A8F88736-299B-4BDA-B065-CA7641A5005F.fit,False,0,0,False,67419870,1,a15924923649,,2,
2,Afternoon Weight Training - Legs,0.0,2353,2353,0.0,WeightTraining,WeightTraining,30.0,15913553546,2025-09-23T18:39:42Z,2025-09-23T14:39:42Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,2,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,115.5,140.0,False,True,0.0,0.0,16993528270.0,16993528270.0,90C7C56F-488A-4E27-A187-17EBE7A33519.fit,False,0,0,False,67419870,1,a15913553546,,2,
2,Lunch Weight Training - Push,0.0,3273,3273,0.0,WeightTraining,WeightTraining,30.0,15900574669,2025-09-22T16:19:56Z,2025-09-22T12:19:56Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,103.9,128.0,False,True,0.0,0.0,16980274640.0,16980274640.0,A5DCD632-DA67-4A55-872E-02B9766053ED.fit,False,0,0,False,67419870,1,a15900574669,,2,
2,Morning Run,1829.9,701,705,2.8,Run,Run,,15898968088,2025-09-22T14:30:50Z,2025-09-22T10:30:50Z,(GMT-05:00) America/New_York,-14400.0,,,,0,2,0,1,0,False,False,False,False,everyone,False,g7385283,"[39.946458, -75.161237]","[39.942656, -75.157188]",2.61,3.34,188.2,212.0,186.0,True,131.9,True,134.4,150.0,False,True,13.8,11.0,16978635603.0,16978635603.0,4589B633-D363-42E7-8BD9-783BC30ED02E.fit,False,0,0,False,67419870,1,a15898968088,__yrFjnviM`@aFRwE@KJSLOJGh@IvAJdBTL?DEBGVgCPeEb@wFj@uILsCRsBDOFG~BZHBFHOjDIbC@HJH@He@jFc@dI@NFFbALZL,2,
2,Lunch Walk,1908.7,1275,1401,13.4,Walk,Walk,,15887853289,2025-09-20T15:23:55Z,2025-09-20T11:23:55Z,(GMT-05:00) America/New_York,-14400.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,g7385283,"[39.938033, -75.151007]","[39.946626, -75.161553]",1.497,6.583,,,,,,True,108.7,118.0,False,True,13.4,0.0,16967183337.0,16967183337.0,78F483D7-144C-42EB-8A3C-65B4F81C11B1.fit,False,0,0,False,67419870,1,a15887853289,qpwrFb_uiMcAOkA?kAEgAOiAYw@PMxAIlB_@lEElBADs@v@aBYu@@cBGsC]sA[q@^QvEEh@c@|DMvAGZGHKDc@@cAOeAW[AQ@KFKJKPAVCtAIfBe@zG,2,
2,Morning Run,1919.8,697,701,6.4,Run,Run,,15887853282,2025-09-20T14:50:08Z,2025-09-20T10:50:08Z,(GMT-05:00) America/New_York,-14400.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,g7385283,"[39.946572, -75.161113]","[39.937664, -75.149974]",2.754,4.02,197.2,228.0,196.0,True,137.4,True,151.5,161.0,False,True,16.6,10.2,16967183332.0,16967183332.0,C92199EA-5E8E-489D-9709-FB049C328F69.fit,False,0,0,False,67419870,1,a15887853282,w~xrF~lviMRiCTaFf@iHLaC`@}FHmDVkEl@wGDgBJeAAyBBSDMFEzA@bBXtAF`BXn@Dr@PbADh@FfAHb@Pl@DvCj@hBDZP|ALv@NtAJn@J,2,
2,Lunch Weight Training - Pull,0.0,2655,2655,0.0,WeightTraining,WeightTraining,30.0,15866594485,2025-09-19T15:26:52Z,2025-09-19T11:26:52Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,,,,,,True,113.2,146.0,False,True,0.0,0.0,16945300397.0,16945300397.0,01F61D5B-7952-421C-A4E1-80E6F5BAFAD2.fit,False,0,0,False,67419870,1,a15866594485,,2,
